,station_name,station_id,YY,MM,DD,hh,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS
0,"Corpus Christi, TX",42020,2023,1,16.00044812906117,11.501456419448802,147.58456707043518,6.681962805287923,8.486533721711853,1.4989038332212508,6.744364492266309,5.148103564223268,103.2876526458616,1017.7141384718799,19.86589737844499,20.87137069547603,16.141631189782657,
1,"Corpus Christi, TX",42020,2023,2,14.49888365169933,11.501860580501116,170.76587795765877,6.780516257135766,8.656118143459915,1.511411229135053,6.88122913505311,5.141373292867982,108.0076219512195,1021.0141900272886,18.83524447753785,20.997622739018087,15.260014892032762,
2,"Corpus Christi, TX",42020,2023,3,15.850136239782016,11.495458673932788,119.57881548974943,6.644979554747842,8.316901408450704,1.5608384458077709,7.150981595092024,5.253224267211997,108.10677618069815,1014.9043379513968,21.12162653339391,21.37388926862611,18.371944570649706,
3,"Corpus Christi, TX",42020,2023,4,15.487334417848013,11.526841738322101,112.603981264637,6.751395998138669,8.444485807352256,1.5064800559832052,6.983785864240728,5.120419874037789,105.11275546159267,1015.1427608645131,23.044100535257154,23.35471742176553,21.07940423551315,
4,"Corpus Christi, TX",42020,2023,5,16.0013446884805,11.495293590318242,124.81516587677726,4.960035882484862,6.229849742094641,0.8890859481582538,5.894109489051095,4.3667189631650745,109.88360175695462,1014.8775885253249,25.980539932508435,26.21541929666366,23.806614173228343,
5,"Corpus Christi, TX",42020,2023,6,15.5,11.5,154.30164618594947,6.457354644429002,7.976928422515636,1.0101948503827418,5.9441732851985565,4.284251913709117,138.23895727733526,1012.4780555555556,28.490294185777163,28.722069447681193,26.474635163307852,
6,"Corpus Christi, TX",42020,2023,7,16.0,11.5,148.71880610412927,5.860900739412951,7.202173425946673,0.8529004037685061,5.355349932705249,4.108257065948856,146.1253369272237,1014.8929883512544,29.466771230114276,29.650528921899614,27.34891328702666,
7,"Corpus Christi, TX",42020,2023,8,15.979105818917096,11.511570433610425,148.50811176205497,5.190761968981794,6.4158237806248595,0.8284797297297298,5.714855371900826,4.283648648648649,130.58004158004158,1017.2217479218153,29.733917734322322,29.859348121321865,27.676803776129468,
8,"Corpus Christi, TX",42020,2023,9,15.487019007881317,11.507417709782105,131.33139128408297,4.747994435427776,6.009227915603987,0.6722407794015309,4.989742519137091,3.949784272790536,115.27438596491228,1015.077213722763,29.92782286111755,30.444320297951585,26.255413865059126,
9,"Corpus Christi, TX",42020,2023,10,5.637779282329046,11.276912660798917,82.00068212824011,6.396951219512195,8.234146341463415,1.451408163265306,7.246448979591837,5.207163265306123,73.47540983606558,1013.5420446851728,27.903252032520324,29.70475543478261,23.901626016260163,
10,"Corpus Christi, TX",42020,2022,1,15.996414164051995,11.502465262214253,149.73300426295714,7.68993724787091,10.012774540564768,1.6261185983827493,6.727261580381472,5.03,97.59208731241473,1020.4763558942178,18.27324069923801,22.829387283236997,13.391976692066338,
11,"Corpus Christi, TX",42020,2022,2,14.5,11.5,145.27254658385093,7.500074404761905,9.759771825396825,1.6266915052160953,6.919627421758569,5.155245901639344,85.66415662650603,1021.2999503968254,16.467733929014642,21.075572139303482,12.057930007446016,
12,"Corpus Christi, TX",42020,2022,3,16.017291713451606,11.498091174489108,141.53567409408058,6.600449135414327,8.35823040646755,1.4089878542510121,6.586491228070176,4.930701754385965,104.14769647696477,1016.4623539982032,19.5882947652213,20.96924988703118,15.063334082228712,
13,"Corpus Christi, TX",42020,2022,4,15.497452524316813,11.501157943492357,120.22390141827482,6.392936544696619,8.012482630847614,1.5613807531380752,7.06536959553696,5.222064156206415,104.34599156118144,1013.4041685965725,22.810202184522428,22.283293211362544,20.368277945619333,
14,"Corpus Christi, TX",42020,2022,5,15.983180085220901,11.495851087687823,140.8955525606469,7.166337743888764,8.896299618748598,1.3654681139755767,6.540352781546811,4.822401628222524,133.3623978201635,1011.6765642520744,26.276841868823002,26.412184115523466,23.62053009883199,
15,"Corpus Christi, TX",42020,2022,6,15.490959666203059,11.484932777005099,138.924506387921,5.830273528048215,7.199559573481688,0.9943096234309623,6.013099579242637,4.4555369595536956,132.00280504908835,1014.0510894761244,27.98794342684906,28.278787878787877,24.767331323904475,
16,"Corpus Christi, TX",42020,2022,7,16.01571973950146,11.492926117224343,155.91911929903392,6.445811812261397,7.8392319784415,0.9243243243243243,5.3365135135135136,4.123013513513514,149.42219215155615,1253.316775207725,28.880502148835106,29.135259191596255,25.37971047274372,
17,"Corpus Christi, TX",42020,2022,8,16.000672193591754,11.49764732242886,148.54965097950912,5.590915208613728,6.912045760430686,0.8549283667621776,5.3742693409742115,4.114828080229226,139.38040345821327,1024.1538651131527,28.734471766848817,29.298460144927535,25.367600182149364,
18,"Corpus Christi, TX",42020,2022,9,15.5,11.5,108.90593713620488,4.350416666666667,5.6001620370370375,0.7905449591280653,5.698945147679325,4.31325613079019,93.94985673352436,1014.8939583333334,28.242206736353076,29.48333333333333,23.09595818815331,
19,"Corpus Christi, TX",42020,2022,10,16.0,11.5,118.60630630630631,6.010147849462365,7.816129032258064,1.1313239247311828,6.1518861454046645,4.592715053763441,99.76580958999305,1016.5892697132616,25.550425627240145,27.703963963963965,18.51771953405018,
20,"Corpus Christi, TX",42020,2022,11,15.505789717461788,11.503937007874017,112.67930232558139,7.969685039370078,10.11032885595183,1.826733983286908,7.035459610027855,5.209881615598886,99.85714285714286,1017.5475451597962,22.37167014130183,25.42768585411326,19.194880704192727,
