,YY,MM,DD,hh,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,station_id
0,2023,1,16.00044812906117,11.501456419448802,134.4019365007881,6.3472197309417036,8.104596412556054,1.3080256064690026,6.209130727762804,4.857486522911051,144.77732518669382,1017.862469191127,22.861143497757848,24.196882060551285,19.596565059144677,,42001
1,2023,2,14.5,11.5,150.22095048519532,6.900868270900522,8.811039444306624,1.3902232142857143,6.526369047619048,4.900803571428572,151.2386278896346,1020.2807043650794,23.235623914661375,24.98575712143928,20.216072763518564,,42001
2,2023,3,16.0,11.5,123.33829163849448,7.162488789237669,9.010291479820628,1.2914150943396228,6.073982479784366,4.6438746630727765,128.78552097428957,1017.1471102150538,24.463542600896858,26.13501123595506,21.566121076233184,,42001
3,2023,4,15.488150557620818,11.527648698884759,139.34190231362467,6.525668449197862,8.246105556847246,1.3677266387726639,6.616687587168759,4.9419595536959555,128.66526019690576,1017.065125464684,25.136627906976745,26.035370975268318,22.323848301535598,,42001
4,2023,5,16.0,11.5,138.88038060715903,4.597848498431197,5.881398476019722,0.7357734056987788,5.382695374800638,4.1318656716417905,133.09076305220884,1027.0671370967743,26.55065110013471,27.315691130121568,23.466659182757073,,42001
5,2023,6,15.5,11.5,168.61308281141265,4.3538319055336885,5.564760361194721,0.7527994428969359,5.618103448275862,4.231058495821727,142.91003460207614,1011.2336805555556,28.66829550717925,29.09899556178463,25.529643353404353,,42001
6,2023,7,16.0,11.5,137.9412955465587,3.587180636485881,4.644083370685792,0.38321428571428573,5.304479087452471,3.863429919137466,149.1358778625954,1015.3771729390681,30.072949350067233,30.793043674020716,26.131824294038548,,42001
7,2023,8,15.974163109413615,11.512918445293193,128.56717091894333,3.7203824521934754,4.873093363329584,0.5210020311442112,5.565176715176715,4.119519295870006,127.06583072100314,1016.595147157942,30.456130483689538,31.080492766726945,26.583239595050618,,42001
8,2023,9,15.487019007881317,11.507417709782105,142.58639962738704,3.4657546951078135,4.703083700440529,0.5942358688066992,5.6606678539626,4.2647103977669225,97.16117542297418,1014.2958507185906,29.562995594713655,30.532734064907775,25.63589505456234,,42001
9,2023,10,16.0,11.5,114.7880163413527,6.178507395786642,8.090676826535185,1.3231649831649832,6.736922558922559,5.118316498316498,134.4942372881356,1014.4626176602421,27.232212508406185,29.026318161333936,22.926172839506176,,42001
10,2023,11,15.5,11.5,108.35618029739777,6.835656401944894,8.84825191016439,1.5093006488824803,6.705933669790915,5.075219899062725,102.35319767441861,1015.0396064814814,24.871335957397548,27.269024901093786,21.117920815003473,,42001
11,2023,12,16.001344387183508,11.498767645081784,153.11263489208633,7.228356870656803,9.494104460883209,1.694635714285714,6.979957142857144,5.194142857142857,141.177151120752,1016.9269101501231,22.904034969737726,25.88447848614553,18.494173228346458,,42001
12,2022,8,24.058356676003736,11.582633053221288,128.62688679245284,3.783138720224194,4.848528724894909,0.40656250000000005,4.810844594594594,3.7446875000000004,176.30067567567568,1026.534827264239,29.62822315986873,30.30235404896422,26.389483568075118,,42001
13,2022,9,15.5,11.5,105.3338769804287,4.652502316960148,6.101992585727525,0.8395909732016925,5.752295321637426,4.25802538787024,110.68722466960352,1031.6364583333334,28.643959107806694,30.12638337613822,24.84010223048327,,42001
14,2022,10,16.0,11.5,101.13105156496285,5.501658820892177,7.210423671822461,0.9666172506738545,5.810323450134772,4.450309973045822,105.94157608695652,1014.9617383512546,26.083856502242153,28.19934699392029,21.370633138751685,,42001
15,2022,11,15.5,11.5,101.9106313834726,7.211669367909239,9.05401713359574,1.4066805555555555,6.593932584269663,4.860569444444445,112.36812411847673,1018.1152546296297,24.982611715674924,26.79068092028817,22.593092105263157,,42001
16,2022,12,16.0,11.5,108.06375309754449,6.445069475571493,8.242290452711789,1.4005947955390334,6.404230483271376,4.918513011152416,128.6083707025411,1020.2383960573477,23.36677874915938,25.70809652683807,20.26918761220826,,42001
17,2021,4,25.890566037735848,11.709433962264152,123.06575963718821,7.615320754716981,9.43245283018868,1.4227853881278538,6.229817351598173,4.843881278538812,106.4770642201835,1102.9034716981132,25.879622641509435,26.15776923076923,22.589509433962263,,42001
